Uniprot_A,Uniprot_B,author_score
A0A0J9YW04,Q96PV4,-
Q6PL45-2,Q9Y336-1, 0.684271335248
A0A024RAC6,Q96IK5, 0.887139592816
Q5TA76,O43609, 0.891610106699
O95935,Q7LC44, 0.852613971581
P13646-1,Q53TS8-1,-
O14787-2,Q9BZR9, 0.788445414415
Q8TDR4,Q96GM5-1, 0.665909389398
P62495-2,Q14145,-
O60568,O60504-1, 0.879139701231
O43309,Q8WTR7,-
C9J9W2,P60410, 0.796787681587
P19013,P08727, 0.876867290589
Q07002-2,Q68D86-1,-
Q09470,Q9Y5U9, 0.859521038875
Q9UH92-3,Q8N7W2-2, 0.796814738333
O14880,Q9NUM3-1, 0.673768716938
Q9BVK2-1,Q6ZSS7, 0.673824444221
Q15560-1,Q9BRK4,-
O15371-1,P21673,-
Q08117-2,Q4VC12-1, 0.826367295141
Q9BY84-1,P45983-4, 0.777165016467
Q8N165,Q05D32-1, 0.916165530385
G5EA54,P61024,-
Q9H4E7,Q9H0H0, 0.828400571349
Q6Q788,Q9NX76, 0.695402093689
Q9UL15-1,Q9NYA3, 0.862130676553
P27658,Q0VD86-1, 0.878839401397
P25791-1,A0A087WVE9, 0.787104091384
Q9HC36,Q13643,-
Q02930-4,P26371, 0.932168226468
Q6KB66-2,Q9BRX5-1, 0.779192391797
Q16385-2,Q6PJH3,-
Q9H115-1,Q5JX71, 0.642426869791
P10276-1,P48443,-
Q5TA76,Q5T751, 0.851674412351
P68871,Q6B0K9,-
Q9Y228-1,P23497-2,-
Q9Y2V2,Q8ND90,-
Q96JF0-2,Q9NP94-1, 0.669659769487
Q96HA8-1,A0A087WVS8, 0.838981024607
Q5T7V8-2,Q96FZ5-1,-
P55061-1,Q8TED1, 0.686338997106
Q8N6F1-2,Q7Z5P4-1, 0.680336624726
Q8WV92,Q8N720-1, 0.640486338832
O15169-1,O94972-1,-
Q8NE01-1,P07237, 0.681459940744
