Uniprot_A	Uniprot_B
"chebi:""CHEBI:15996"""	Q02821
"chebi:""CHEBI:15996"""	P62826
"chebi:""CHEBI:15996"""	P55060
Q14974	P52292
Q14974	O00629
Q14974	O00505
Q14974	P52294
Q14974	O60684
Q14974	Q02821
P06463	Q12959-1
P03129	O08696
Q08050-1	P03129
P03129	Q08050-1
Q08050-1	P03129
P04019	P29597
P06463	P29597
P29597	P06463
P06463	P29597
P29597	P04019
P29597	P17181
P06463	P29597
P04019	P29597
P31947	P06493
P31947	P06493
Q64512	Q9NPI1
O88665	Q64512
Q64512	O88665
Q64512	O88665
Q9ULX9	ensembl:ENSG00000180914
Q13257	P78536
Q9UI95	Q13443
Q9UI95	Q13443
Q13257	P78536
Q13257	P78536
Q9Y297	P63209
Q9UKT5	P63209
P63209	Q9UKT7
Q9UKT8	P63209
Q9Y297	P63209
P63209	Q9UKT8
Q9UKT5	P63209
P63209	Q9UKT7
P63209	Q9Y3I1
P63209	Q9Y3I1
P56817-1	P05067
P56817-1	P05067
Q13444	Q9UKS6
Q13444	Q9Y5X1
Q96R06	Q13444
Q9UI95	Q13444
Q99962	Q13444
Q9UI95	Q13443
Q9UKS6	Q13443
Q99962	Q13443
O88839	Q99JB8
Q99JB8	Q61072
Q62420	Q61072
O88839	Q62420
Q9UKS6	Q13443
Q9UKS6	Q13444
Q13443	Q99962
Q99962	Q13444
P50591	O14763
P12931	P56945
O43426	P49418
intact:EBI-7121654	P49418
intact:EBI-7121639	P49418
P49418	intact:EBI-7121765
intact:EBI-7121715	P49418
intact:EBI-7121785	P49418
intact:EBI-7121875	P49418
P49418	intact:EBI-7121821
P49418	intact:EBI-7121931
P49418	intact:EBI-7121906
P49418	intact:EBI-7121980
intact:EBI-7121996	P49418
intact:EBI-7122090	Q99962
P49418	intact:EBI-7122051
Q99962	intact:EBI-7122141
intact:EBI-7122121	Q99962
Q99961	intact:EBI-7122210
intact:EBI-7122234	Q99961
intact:EBI-7122348	Q99963
Q99961	intact:EBI-7122298
intact:EBI-7122420	Q99963
intact:EBI-7122141	Q99963
Q99963	intact:EBI-7122482
Q99963	intact:EBI-7122234
intact:EBI-7122528	Q99963
intact:EBI-7122560	Q99963
Q99963	intact:EBI-7122210
Q99963	intact:EBI-7122631
P49418	O43426
O43426	P49418
P49418	O43426
O43426	Q99961
Q99961	O43426
Q05193	P49418
Q99961	O43426
Q05193	P49418
Q05193	Q99961
P49418	Q05193
Q05193	Q99961
Q99961	P50570
P49418	P50570
Q9UQ16	P49418
Q9UQ16	Q99961
Q9Y2T3	Q92796
Q92796	Q9Y2T3
Q9Y2T3	Q92796
Q92796	Q9Y2T3
Q9Y2T3	Q92796
Q92796	Q9Y2T3
P17948	P15692
P27958-PRO_0000037577	P27958-PRO_0000037576
P27958-PRO_0000037576	Q9P0L0
P27958-PRO_0000037577	Q9P0L0
P27958-PRO_0000037577	Q9P0L0
Q9P0L0	P27958-PRO_0000037576
Q9P0L0	P27958-PRO_0000037576
P27958-PRO_0000037576	Q9P0L0
Q9P0L0	P27958-PRO_0000037577
Q9P0L0	P27958-PRO_0000037576
Q9P0L0	P27958-PRO_0000037577
Q92963	Q13129
P70425	Q13129
Q12967	P70425
P55196	P70425
P55196	Q92963
Q12967	Q92963
Q92963	Q13129
Q92963	Q13129
Q92963	Q9NZL6
P70425	Q13129
P46939	O60941
P11532	O60941
P11532	O60941
Q86UL8	Q9Y4G8
Q9Y4G8	Q86UL8
O14796	Q13291
O60880	Q13291
O14763	P50591
P33897	P33897
Q61285	Q61285
P33897	Q61285
P28288	P28288
P33897	P28288
Q61285	P28288
P33897	P33897
P28288	P33897
P33897	P48410
P48410	P33897
P33897	P55096
Q61285	P55096
O15360	Q13813
Q13813	Q00597
P51587	Q06609
P51587	Q06609
Q9QXK9	P06240
P06240	Q9NP31
P06240	Q9QXK9
Q9QXK9	P06240
Q9NP31	P06239
P29350	P20138
P29350	P20138
P29350	P20138
Q9QUN3	Q06187
Q8WV28	Q06187
P62993	Q8WV28
Q03526	Q13094
Q03526	Q9QUN3
Q8WV28	Q06187
P06239	Q13094
Q13094	Q03526
P06239	P43403
Q13094	Q08881
Q9Y6I3	Q8NFH8
Q9UP38	P22725
Q05086	P68036
O43896	P61981
Q13153	P53667
P53667	-
Q13153	-
P53667	Q13153
P53667	Q13153
P53667	Q13153
P53667	Q13153
P14781	A0A8V0YWD3
P14781	A0A8V0YWD3
P14781	P18433
P18433-6	P14781
P14781	P18433
O00623	P50542
O00623	P50542
P50542	O00623
O14745	P46937
P46937	O14745
P46937	O14745
O14745	P46937
P46937	O14745
O14745	P46937
O14745	P07947
O14745	P46937
O14745	P46937
P08151	Q9UMX1-1
Q9UMX1-1	P08151
Q9UMX1-2	P08151
P08151	Q9UMX1-2
P08151	Q9UMX1-2
Q9UMX1	Q8BKI7
P10071	Q9UMX1
Q9UMX1	Q3ULA2
Q9UMX1	Q9UMX1
P08151	Q9UMX1-2
P05067-PRO_0000000092	P04040
P04040	P05067
P36711	P78310
O60869-1	ddbj/embl/genbank:D12587
O60869-1	P20226
P20226	O60869-1
O60869-2	P20226
Q04752	O60869-1
O60869-2	Q04752
O60869-1	Q04752
Q04752	O60869-1
P18846	O60869-1
O60869-1	P05412
O60869-1	P01100
O60869-1	Q04752
O60869	Q13285
Q9GZY0	Q9QZV9
P68509	P07101
Q13094	O15117
Q13094	O15117
P27958-PRO_0000037573	P05155
Q99068	Q924X6
Q99068	Q924X6
P98155	Q99068
Q99068	P98155
Q60841	Q924X6
Q924X6	Q60841
Q924X6	Q60841
P98155	Q60841
Q60841	P98155
P98155	Q60841
Q60841	P98155
Q924X6	Q60841
P00533	P04626
P21860	P00533
P00533	Q15303
P21860	P04626
P21860	Q15303
P04626	Q15303
P21860	P27986
P00533	P21860
P00533	Q15303
P21860	P04626
P27986	P21860
P21860	P04626
Q15303	P21860
P27986	P21860
P48059	O55222
P48059	O43639
O55222	P48059
O55222	G3HJ13
Q9UHD2	P70347
Q9WUN2	P70347
P70347	Q9WUN2
Q9WUN2	P70347
Q9WUN2	P39429
Q9WUN2	P70347
Q9WUN2	P39429
P05627	Q91Y86
Q9UKI8	O00161
P04198	P61244
P04198	Q13287
P04198	Q13287
P04198	P61244
P01106	Q13287
P04198	Q13287
Q16539	Q15256
Q15256	Q16539
Q15256	P28482
Q16539	Q15256
Q15256	P28482
P42229	P14784
P51692	P14784
Q86TP1	P15531
P15531	P15531
P15531	Q86TP1
P13612	P49023
P49023	P13612
P49023	P05556
P05556-1	P49023
G3GU78	intact:EBI-6082785
G3GU78	intact:EBI-6082785
G3GU78	intact:EBI-6082800
intact:EBI-6082805	G3GU78
P49023	P13612
P13612	P05556-1
P13612	P49023
O43294	P13612
P05556-1	P13612
P05556-1	O43294
O60711	P13612
P05556-1	P21333
P05556-1	P13612
P05556-1	P21333
O60880	Q13291
O60880	Q13291
G5EDB9	P22981
Q9Y4G8	P01112
P62834	Q9Y4G8
Q00987	O15151
O15151	Q00987
O15151	Q00987
O15151	Q00987
P27348	Q14934
P27348	Q14934
Q14573	Q13507
Q14573	Q9Y210
Q13507	Q14573
Q14573	Q13507
Q14573	Q13507
Q14573	Q13507
P52594	P42566
O95405	Q15796
O95405	Q15796
O95405	Q15796
O95405	Q15796
P28562	P27361
P21802	P05230
P03120	P04637
P03120	P04637
P61586	Q16512
Q07812	Q07812
Q07813	Q07813
O15360	O15287
O15360	Q00597
P51610	P14859
P51610	O43889
Q9UIK4	Q9UIK4
Q9UIK4	Q9UIK4
Q9UIK4	Q9UIK4
Q14315	Q92629
Q14315	Q13326
